word,definition
asp viper,of southern Europe; similar to but smaller than the adder
puff adder,large African viper that inflates its body when alarmed
cerastes,highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
sand viper,highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
horned asp,highly venomous viper of northern Africa and southwestern Asia having a horny spine above each eye
pit viper,New World vipers with hollow fangs and a heat-sensitive pit on each side of the head
copperhead,common coppery brown pit viper of upland eastern United States
rattle,loosely connected horny sections at the end of a rattlesnake's tail
rattler,pit viper with horny segments at the end of the tail that rattle when shaken
sidewinder,small pale-colored desert rattlesnake of southwestern United States; body moves in an s-shaped curve
massasauga,pygmy rattlesnake found in moist areas from the Great Lakes to Mexico; feeds on mice and small amphibians
massasauga,small pygmy rattlesnake
pecker,horny projecting mouth of a bird
carcase,the dead body of an animal especially one slaughtered and dressed for food
carcass,the dead body of an animal especially one slaughtered and dressed for food
carrion,the dead and rotting body of an animal; unfit for human food
roadkill,the dead body of an animal that has been killed on a road by a vehicle
arthropod,invertebrate having jointed limbs and a segmented body with an exoskeleton made of chitin
trilobite,an extinct arthropod that was abundant in Paleozoic times; had an exoskeleton divided into three parts
chelicera,either of the first pair of fang-like appendages near the mouth of an arachnid; often modified for grasping and piercing
mouthpart,any part of the mouth of an insect or other arthropod especially one adapted to a specific way of feeding
arachnid,air-breathing arthropods characterized by simple eyes and four pairs of legs
arachnoid,air-breathing arthropods characterized by simple eyes and four pairs of legs
harvestman,spiderlike arachnid with a small rounded body and very long thin legs
scorpion,arachnid of warm dry regions having a long segmented tail ending in a venomous stinger
spider,"predatory arachnid with eight legs, two poison fangs, two feelers, and usually two silk-spinning organs at the back end of the body; they spin silk to make cocoons for eggs or traps for prey"
theridiid,spider having a comb-like row of bristles on each hind foot
tarantula,large hairy tropical spider with fangs that can inflict painful but not highly venomous bites
tarantula,large southern European spider once thought to be the cause of tarantism (uncontrollable bodily movement)
acarine,mite or tick
hard tick,ticks having a hard shield on the back and mouth parts that project from the head
ixodid,ticks having a hard shield on the back and mouth parts that project from the head
deer tick,a northeastern tick now recognized as same species as Ixodes scapularis
sheep-tick,parasitic on sheep and cattle as well as humans; can transmit louping ill in sheep (acute viral disease of the nervous system); a vector for Lyme disease spirochete
sheep tick,parasitic on sheep and cattle as well as humans; can transmit louping ill in sheep (acute viral disease of the nervous system); a vector for Lyme disease spirochete
wood tick,common tick that can transmit Rocky Mountain spotted fever and tularemia
soft tick,tick lacking a dorsal shield and having mouth parts on the under side of the head
argasid,tick lacking a dorsal shield and having mouth parts on the under side of the head
acarid,very small free-living arachnid that is parasitic on animals or plants; related to ticks
trombidiid,mite that in all stages feeds on other arthropods
chigger,larval mite that sucks the blood of vertebrates including human beings causing intense irritation
jigger,larval mite that sucks the blood of vertebrates including human beings causing intense irritation
redbug,larval mite that sucks the blood of vertebrates including human beings causing intense irritation
acarus,any of several mites of the order Acarina
itch mite,whitish mites that attack the skin of humans and other animals
sarcoptid,whitish mites that attack the skin of humans and other animals
rust mite,any of several varieties of mite that burrow into plants and cause a reddish-brown discoloration on the leaves or fruit
red spider,small web-spinning mite; a serious orchard pest
myriapod,general term for any terrestrial arthropod having an elongated body composed of many similar segments: e.g. centipedes and millipedes
symphilid,minute arthropod often infesting the underground parts of truck-garden and greenhouse crops
tardigrade,an arthropod of the division Tardigrada
centipede,"chiefly nocturnal predacious arthropod having a flattened body of 15 to 173 segments each with a pair of legs, the foremost pair being modified as prehensors"
prehensor,the anterior pair of legs of a centipede that are modified to seize prey and inject venom from the toxicognaths
millipede,any of numerous herbivorous nonpoisonous arthropods having a cylindrical body of 20 to 100 or more segments most with two pairs of legs
millepede,any of numerous herbivorous nonpoisonous arthropods having a cylindrical body of 20 to 100 or more segments most with two pairs of legs
milliped,any of numerous herbivorous nonpoisonous arthropods having a cylindrical body of 20 to 100 or more segments most with two pairs of legs
sea spider,any of various small spiderlike marine arthropods having small thin bodies and long slender legs
pycnogonid,any of various small spiderlike marine arthropods having small thin bodies and long slender legs
king crab,large marine arthropod of the Atlantic coast of North America having a domed carapace that is shaped like a horseshoe and a stiff pointed tail; a living fossil related to the wood louse
eurypterid,large extinct scorpion-like arthropod considered related to horseshoe crabs
poultry,a domesticated gallinaceous bird thought to be descended from the red jungle fowl
Dorking,an English breed of large domestic fowl having five toes (the hind toe doubled)
Cornish,English breed of compact domestic fowl; raised primarily to crossbreed to produce roasters
game fowl,any of several breeds reared for cockfighting
cochin,Asian breed of large fowl with dense plumage and feathered legs
gallina,small Asiatic wild bird; believed to be ancestral to domestic fowl
jungle hen,female jungle fowl
chicken,a domestic fowl bred for flesh or eggs; believed to have been developed from the red jungle fowl
bantam,any of various small breeds of fowl
rooster,adult male chicken
cockscomb,the fleshy red crest on the head of the domestic fowl and other gallinaceous birds
coxcomb,the fleshy red crest on the head of the domestic fowl and other gallinaceous birds
cockerel,a young domestic cock; not older than one year
cackler,a hen that has just laid an egg and emits a shrill squawk
brood hen,a domestic hen ready to brood
broody,a domestic hen ready to brood
broody hen,a domestic hen ready to brood
sitter,a domestic hen ready to brood
mother hen,a hen with chicks
pullet,young hen usually less than a year old
Dominique,American breed of chicken having barred grey plumage raised for meat and brown eggs
Dominick,American breed of chicken having barred grey plumage raised for meat and brown eggs
Orpington,English breed of large chickens with white skin
turkey,large gallinaceous bird with fan-shaped tail; widely domesticated for food
gobbler,male turkey
tom turkey,male turkey
grouse,popular game bird having a plump body and feathered legs and feet
heathfowl,large northern European grouse that is black with a lyre-shaped tail
blackcock,male black grouse
black cock,male black grouse
greyhen,female black grouse
grayhen,female black grouse
grey hen,female black grouse
gray hen,female black grouse
heath hen,female black grouse
ptarmigan,large Arctic and subarctic grouse with feathered feet and usually white winter plumage
red grouse,reddish-brown grouse of upland moors of Great Britain
moorfowl,reddish-brown grouse of upland moors of Great Britain
moorbird,reddish-brown grouse of upland moors of Great Britain
moor-bird,reddish-brown grouse of upland moors of Great Britain
moorgame,reddish-brown grouse of upland moors of Great Britain
moorhen,female red grouse
moorcock,male red grouse
sage hen,large grouse of sagebrush regions of North America
partridge,valued as a game bird in eastern United States and Canada
sprigtail,large grouse of prairies and open forests of western North America
sprig tail,large grouse of prairies and open forests of western North America
heath hen,extinct prairie chicken
curassow,large crested arboreal game bird of warm parts of the Americas having long legs and tails; highly esteemed as game and food
chachalaca,slender arboreal guan resembling a wild turkey; native to Central America and Mexico; highly regarded as game birds
megapode,large-footed short-winged birds of Australasia; build mounds of decaying vegetation to incubate eggs
mound bird,large-footed short-winged birds of Australasia; build mounds of decaying vegetation to incubate eggs
mound-bird,large-footed short-winged birds of Australasia; build mounds of decaying vegetation to incubate eggs
scrub fowl,large-footed short-winged birds of Australasia; build mounds of decaying vegetation to incubate eggs
leipoa,Australian mound bird; incubates eggs naturally in sandy mounds
mallee hen,adult female mallee fowl
phasianid,a kind of game bird in the family Phasianidae
pheasant,large long-tailed gallinaceous bird native to the Old World but introduced elsewhere
afropavo,both sexes are brightly colored
bobwhite,a popular North American game bird; named for its call
partridge,a popular North American game bird; named for its call
monaul,brilliantly colored pheasant of southern Asia
peafowl,very large terrestrial southeast Asian pheasant often raised as an ornamental bird
peachick,a young peafowl
pea-chick,a young peafowl
peacock,male peafowl; having a crested head and very large fanlike tail marked with iridescent eyes or spots
peahen,female peafowl
quail,small gallinaceous game birds
tragopan,brilliantly colored Asian pheasant having wattles and two fleshy processes on the head
partridge,small Old World gallinaceous game birds
guinea,a west African bird having dark plumage mottled with white; native to Africa but raised for food in many parts of the world
guinea hen,female guinea fowl
hoatzin,crested ill-smelling South American bird whose young have claws on the first and second digits of the wings
hoactzin,crested ill-smelling South American bird whose young have claws on the first and second digits of the wings
stinkbird,crested ill-smelling South American bird whose young have claws on the first and second digits of the wings
tinamou,heavy-bodied small-winged South American game bird resembling a gallinaceous bird but related to the ratite birds
partridge,heavy-bodied small-winged South American game bird resembling a gallinaceous bird but related to the ratite birds
solitaire,extinct flightless bird related to the dodo
pigeon,wild and domesticated birds having a heavy body and short legs
pouter,one of a breed of pigeon that enlarge their crop until their breast is puffed out
rock dove,pale grey Eurasian pigeon having black-striped wings from which most domestic species are descended
bandtail,wild pigeon of western North America; often mistaken for the now extinct passenger pigeon
ringdove,Eurasian pigeon with white patches on wings and neck
cushat,Eurasian pigeon with white patches on wings and neck
turtledove,any of several Old World wild doves
ringdove,greyish Old World turtledove with a black band around the neck; often caged
turtledove,small Australian dove
squab,an unfledged pigeon
roller,pigeon that executes backward somersaults in flight or on the ground
tumbler,pigeon that executes backward somersaults in flight or on the ground
sandgrouse,pigeon-like bird of arid regions of the Old World having long pointed wings and tail and precocial downy young
parrot,usually brightly colored zygodactyl tropical birds with short hooked beaks and the ability to mimic sounds
popinjay,an archaic term for a parrot
amazon,mainly green tropical American parrots
cockatoo,white or light-colored crested parrot of the Australian region; often kept as cage birds
cockateel,small grey Australian parrot with a yellow crested head
cockatiel,small grey Australian parrot with a yellow crested head
lovebird,small African parrot noted for showing affection for their mates
lorikeet,any of various small lories
parakeet,any of numerous small slender long-tailed parrots
parrakeet,any of numerous small slender long-tailed parrots
parroket,any of numerous small slender long-tailed parrots
paraquet,any of numerous small slender long-tailed parrots
paroquet,any of numerous small slender long-tailed parrots
parroquet,any of numerous small slender long-tailed parrots
budgerigar,small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors
budgerygah,small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors
budgie,small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors
lovebird,small Australian parakeet usually light green with black and yellow markings in the wild but bred in many colors
cuckoo,any of numerous European and North American birds having pointed wings and a long tail
roadrunner,speedy largely terrestrial bird found from California and Mexico to Texas
coucal,Old World ground-living cuckoo having a long dagger-like hind claw
touraco,large brightly crested bird of Africa
turaco,large brightly crested bird of Africa
turacou,large brightly crested bird of Africa
turakoo,large brightly crested bird of Africa
roller,Old World bird that tumbles or rolls in flight; related to kingfishers
halcyon,a mythical bird said to breed at the time of the winter solstice in a nest floating on the sea and to have the power of calming the winds and waves
kingfisher,nonpasserine large-headed bird with a short tail and long sharp bill; usually crested and bright-colored; feed mostly on fish
kookaburra,Australian kingfisher having a loud cackling cry
bee eater,colorful chiefly tropical Old World bird having a strong graceful flight; feeds on especially bees
hornbill,bird of tropical Africa and Asia having a very large bill surmounted by a bony protuberance; related to kingfishers
hoopoe,any of several crested Old World birds with a slender downward-curved bill
hoopoo,any of several crested Old World birds with a slender downward-curved bill
motmot,tropical American bird resembling a blue jay and having greenish and bluish plumage
Apus apus,common European bird with a shrieking call that nests chiefly about eaves of buildings or on cliffs
swiftlet,swift of eastern Asia; produces the edible bird's nest
tree swift,birds of southeast Asia and East Indies differing from true swifts in having upright crests and nesting in trees
thornbill,any of various South American hummingbirds with a sharp pointed bill
goatsucker,mainly crepuscular or nocturnal nonpasserine birds with mottled greyish-brown plumage and large eyes; feed on insects
nightjar,mainly crepuscular or nocturnal nonpasserine birds with mottled greyish-brown plumage and large eyes; feed on insects
nighthawk,mainly nocturnal North American goatsucker
bullbat,mainly nocturnal North American goatsucker
poorwill,goatsucker of western North America
frogmouth,insectivorous bird of Australia and southeastern Asia having a wide frog-like mouth
oilbird,nocturnal fruit-eating bird of South America that has fatty young yielding an oil that is used instead of butter
guacharo,nocturnal fruit-eating bird of South America that has fatty young yielding an oil that is used instead of butter
woodpecker,bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects
peckerwood,bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects
pecker,bird with strong claws and a stiff tail adapted for climbing and a hard chisel-like bill for boring into wood for insects
flicker,North American woodpecker
ivorybill,large black-and-white woodpecker of southern United States and Cuba having an ivory bill; nearly extinct
redhead,black-and-white North American woodpecker having a red head and neck
sapsucker,small American woodpecker that feeds on sap from e.g. apple and maple trees
wryneck,Old World woodpecker with a peculiar habit of twisting the neck
piculet,small woodpeckers of South America and Africa and East Indies having soft rounded tail feathers
barbet,small brightly colored stout-billed tropical bird having short weak wings
puffbird,brownish tropical American bird having a large head with fluffed out feathers
jacamar,tropical American insectivorous bird having a long sharp bill and iridescent green or bronze plumage
toucan,brilliantly colored arboreal fruit-eating bird of tropical America having a very large thin-walled beak
toucanet,small toucan
trogon,forest bird of warm regions of the New World having brilliant lustrous plumage and long tails
quetzal,large trogon of Central America and South America having golden-green and scarlet plumage
waterfowl,freshwater aquatic bird
water bird,freshwater aquatic bird
waterbird,freshwater aquatic bird
duckling,young duck
dabbler,any of numerous shallow-water ducks that feed by upending and dabbling
mallard,wild dabbling duck from which domestic ducks are descended; widely distributed
black duck,a dusky duck of northeastern United States and Canada
greenwing,common teal of Eurasia and North America
bluewing,American teal
garganey,small Eurasian teal
widgeon,freshwater duck of Eurasia and northern Africa related to mallards and teals
wigeon,freshwater duck of Eurasia and northern Africa related to mallards and teals
baldpate,a widgeon the male of which has a white crown
shoveler,freshwater duck of the Northern Hemisphere having a broad flat bill
shoveller,freshwater duck of the Northern Hemisphere having a broad flat bill
broadbill,freshwater duck of the Northern Hemisphere having a broad flat bill
pintail,long-necked river duck of the Old and New Worlds having elongated central tail feathers
Anas acuta,long-necked river duck of the Old and New Worlds having elongated central tail feathers
sheldrake,Old World gooselike duck slightly larger than a mallard with variegated mostly black-and-white plumage and a red bill
shelduck,female sheldrake
ruddy duck,reddish-brown stiff-tailed duck of North America and northern South America
bufflehead,small North American diving duck; males have bushy head plumage
butterball,small North American diving duck; males have bushy head plumage
dipper,small North American diving duck; males have bushy head plumage
goldeneye,large-headed swift-flying diving duck of Arctic regions
whistler,large-headed swift-flying diving duck of Arctic regions
canvasback,North American wild duck valued for sport and food
pochard,heavy-bodied Old World diving duck having a grey-and-black body and reddish head
redhead,North American diving duck with a grey-and-black body and reddish-brown head
scaup duck,diving ducks of North America having a bluish-grey bill
bluebill,diving ducks of North America having a bluish-grey bill
broadbill,diving ducks of North America having a bluish-grey bill
lake duck,common scaup of North America; males have purplish heads
wild duck,an undomesticated duck (especially a mallard)
wood duck,showy North American duck that nests in hollow trees
Aix sponsa,showy North American duck that nests in hollow trees
wood drake,male wood duck
musk duck,large crested wild duck of Central America and South America; widely domesticated
sea duck,"any of various large diving ducks found along the seacoast: eider, scoter, merganser"
eider duck,duck of the Northern Hemisphere much valued for the fine soft down of the females
scoter,large black diving duck of northern parts of the Northern Hemisphere
scooter,large black diving duck of northern parts of the Northern Hemisphere
old squaw,a common long-tailed sea duck of the northern parts of the United States
oldwife,a common long-tailed sea duck of the northern parts of the United States
merganser,large crested fish-eating diving duck having a slender hooked bill with serrated edges
fish duck,large crested fish-eating diving duck having a slender hooked bill with serrated edges
sawbill,large crested fish-eating diving duck having a slender hooked bill with serrated edges
sheldrake,large crested fish-eating diving duck having a slender hooked bill with serrated edges
goosander,common merganser of Europe and North America
gosling,young goose
gander,mature male goose
greylag,common grey wild goose of Europe; ancestor of many domestic breeds
graylag,common grey wild goose of Europe; ancestor of many domestic breeds
blue goose,North American wild goose having dark plumage in summer but white in winter
snow goose,blue goose in the white color phase
honker,"common greyish-brown wild goose of North America with a loud, trumpeting call"
barnacle,European goose smaller than the brant; breeds in the far north
coscoroba,large white South American bird intermediate in some respects between ducks and swans
cygnet,a young swan
mute swan,soundless Eurasian swan; commonly domesticated
whooper,common Old World swan noted for its whooping call
trumpeter,large pure white wild swan of western North America having a sonorous cry
black swan,large Australian swan having black plumage and a red bill
screamer,gooselike aquatic bird of South America having a harsh trumpeting call
chaja,largest crested screamer; native to southern Brazil and Argentina
mammal,any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
mammalian,any warm-blooded vertebrate having the skin more or less covered with hair; young are born alive except for the small subclass of monotremes and nourished with milk
tusker,any mammal with prominent tusks (especially an elephant or wild boar)
monotreme,the most primitive mammals comprising the only extant members of the subclass Prototheria
echidna,a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia
anteater,a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to Australia
echidna,a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to New Guinea
anteater,a burrowing monotreme mammal covered with spines and having a long snout and claws for hunting ants and termites; native to New Guinea
platypus,small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in the family Ornithorhynchidae
duckbill,small densely furred aquatic monotreme of Australia and Tasmania having a broad bill and tail and webbed feet; only species in the family Ornithorhynchidae
marsupial,mammals of which the females have a pouch (the marsupium) containing the teats where the young are fed and carried
opossum,nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America
possum,nocturnal arboreal marsupial having a naked prehensile tail found from southern North America to northern South America
bandicoot,any of various agile ratlike terrestrial marsupials of Australia and adjacent islands; insectivorous and herbivorous
kangaroo,any of several herbivorous leaping marsupials of Australia and New Guinea having large powerful hind legs and a long thick tail
wallaby,any of various small or medium-sized kangaroos; often brightly colored
pademelon,small reddish-brown wallabies of scrubby areas of Australia and New Guinea
paddymelon,small reddish-brown wallabies of scrubby areas of Australia and New Guinea
potoroo,Australian rat kangaroos
bettong,short-nosed rat kangaroo
phalanger,small furry Australian arboreal marsupials having long usually prehensile tails
opossum,small furry Australian arboreal marsupials having long usually prehensile tails
possum,small furry Australian arboreal marsupials having long usually prehensile tails
cuscus,woolly-haired monkey-like arboreal marsupial of New Guinea and northern Australia
koala bear,sluggish tailless Australian arboreal marsupial with grey furry ears and coat; feeds on eucalyptus leaves and bark
wombat,burrowing herbivorous Australian marsupials about the size of a badger
dasyurid,small carnivorous nocturnal marsupials of Australia and Tasmania
dasyure,any of several more or less arboreal marsupials somewhat resembling martens
native cat,carnivorous arboreal cat-like marsupials of Australia and Tasmania
thylacine,rare doglike carnivorous marsupial of Tasmania having stripes on its back; probably extinct
numbat,small Australian marsupial having long snout and strong claws for feeding on termites; nearly extinct
anteater,small Australian marsupial having long snout and strong claws for feeding on termites; nearly extinct
placental,mammals having a placenta; all mammals except monotremes and marsupials
eutherian,mammals having a placenta; all mammals except monotremes and marsupials
livestock,any animals kept for use or profit
yearling,an animal in its second year
shrew mole,slender mole having a long snout and tail
shrewmouse,small mouselike mammal with a long snout; related to moles
hedgehog,small nocturnal Old World mammal covered with both hair and protective spines
tenrec,small often spiny insectivorous mammal of Madagascar; resembles a hedgehog
tendrac,small often spiny insectivorous mammal of Madagascar; resembles a hedgehog
potamogale,amphibious African insectivorous mammal that resembles an otter
saddle,posterior part of the back of a domestic fowl
furcula,a forked bone formed by the fusion of the clavicles of most birds
wishbone,the furcula of a domestic fowl
cuticula,the outer body wall of an insect
hypodermis,layer of cells that secretes the chitinous cuticle in e.g. arthropods
plumage,the light horny waterproof structure forming the external covering of birds
duck down,down of the duck
eiderdown,down of the eider duck
goose down,down of the goose
plumule,down feather of young birds; persists in some adult birds
aftershaft,a supplementary feather (usually small) on the underside of the base of the shaft of some feathers in some birds
marabou,the downy feathers of marabou storks are used for trimming garments
hackle,long slender feather on the necks of e.g. turkeys and pheasants
pelage,growth of hair or wool or fur covering the body of an animal
guard hair,coarse hairs that form the outer fur and protect the underfur of certain mammals
undercoat,thick soft fur lying beneath the longer and coarser guard hair
underfur,thick soft fur lying beneath the longer and coarser guard hair
underpart,a part lying on the lower side or underneath an animal's body
fleece,outer coat of especially sheep and yaks
encolure,the mane of a horse
forelock,a lock of a horse's mane that grows forward between the ears
foretop,a lock of a horse's mane that grows forward between the ears
cirrus,a slender flexible animal appendage as on barnacles or crinoids or many insects; often tactile
quill,a stiff hollow protective spine on a porcupine or hedgehog
aculea,small spiny outgrowth on the wings of certain insects
aculeus,a sharp-pointed process especially a sting of a hymenopterous insect
stylet,small needlelike appendage; especially the feeding organ of a tardigrade
villus,a minute hairlike projection on mucous membrane
bristle,a stiff hair
chaeta,a stiff chitinous seta or bristle especially of an annelid worm
whisker,a long stiff hair growing from the snout or brow of most mammals as e.g. a cat
vibrissa,a long stiff hair growing from the snout or brow of most mammals as e.g. a cat
horseback,the back of a horse
operculum,a hard flap serving as a cover for (a) the gill slits in fishes or (b) the opening of the shell in certain gastropods when the body is retracted
armour,tough more-or-less rigid protective covering of an animal or plant
fish scale,scale of the kind that covers the bodies of fish
squama,a protective structure resembling a scale
sclerite,hard plate or element of the exoskeleton of some arthropods
clypeus,a shield-like plate on the front of an insect's head
carapace,hard outer covering or case of certain organisms such as arthropods and turtles
cuticle,hard outer covering or case of certain organisms such as arthropods and turtles
shield,hard outer covering or case of certain organisms such as arthropods and turtles
plastron,(zoology) the part of a turtle's shell forming its underside
apodeme,ridge-like ingrowth of the exoskeleton of an arthropod that supports internal organs and provides attachment points for muscles
lorica,"a hard protective sheath (as secreted by certain protoctists, for example)"
zoophyte,any of various invertebrate animals resembling a plant such as a sea anemone or coral or sponge
sponge,primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
poriferan,primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
parazoan,primitive multicellular marine animal whose porous body is supported by a fibrous skeletal framework; usually occurs in sessile colonies
choanocyte,any of the flagellated cells in sponges having a collar of cytoplasm around the flagellum; they maintain a flow of water through the body
metazoan,any animal of the subkingdom Metazoa; all animals except protozoans and sponges
cnidarian,radially symmetrical animals having saclike bodies with only one opening and tentacles with stinging structures; they occur in polyp and medusa forms
planula,the flat ciliated free-swimming larva of hydrozoan coelenterates
medusa,one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles
medusoid,one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles
medusan,one of two forms that coelenterates take: it is the free-swimming sexual phase in the life cycle of a coelenterate; in this phase it has a gelatinous umbrella-shaped body and tentacles
jellyfish,any of numerous usually marine and free-swimming coelenterates that constitute the sexually reproductive forms of hydrozoans and scyphozoans
Aegina,small medusa
scyphozoan,any of various usually free-swimming marine coelenterates having a gelatinous medusoid stage as the dominant phase of its life cycle
hydrozoan,colonial coelenterates having the polyp phase dominant
hydroid,colonial coelenterates having the polyp phase dominant
nanomia,small creatures resembling pieces of fuzzy rope; each with a cluster of swimming bells serving as the head and long elastic tentacles for drawing in prey
man-of-war,large siphonophore having a bladderlike float and stinging tentacles
jellyfish,large siphonophore having a bladderlike float and stinging tentacles
apolemia,large siphonophore of up to 50 ft long
anthozoan,sessile marine coelenterates including solitary and colonial polyps; the medusoid phase is entirely suppressed
actinozoan,sessile marine coelenterates including solitary and colonial polyps; the medusoid phase is entirely suppressed
anemone,marine polyps that resemble flowers but have oral rings of tentacles; differ from corals in forming no hard skeleton
actinia,any sea anemone or related animal
actinian,any sea anemone or related animal
sea pen,fleshy featherlike warm-water colonies
gorgonian,corals having a horny or calcareous branching skeleton
sea fan,corals having a treelike or fan-shaped horny skeleton
red coral,corals of especially the Mediterranean having pink or red color used for ornaments and jewelry
madrepore,corals having calcareous skeletons aggregations of which form reefs and islands
comb-plate,a locomotor organ consisting of a row of strong cilia whose bases are fused
ctenophore,biradially symmetrical hermaphroditic solitary marine animals resembling jellyfishes having for locomotion eight rows of cilia arranged like teeth in a comb
comb jelly,biradially symmetrical hermaphroditic solitary marine animals resembling jellyfishes having for locomotion eight rows of cilia arranged like teeth in a comb
worm genus,a genus of worms
helminth,worm that is parasitic on the intestines of vertebrates especially roundworms and tapeworms and flukes
woodworm,a larva of a woodborer
woodborer,any of various insects or larvae or mollusks that bore into wood
arrowworm,any worm of the Chaetognatha; transparent marine worm with horizontal lateral and caudal fins and a row of movable curved spines at each side of the mouth
sagitta,any arrowworm of the genus Sagitta
flatworm,parasitic or free-living worms having a flattened body
planarian,free-swimming mostly freshwater flatworms; popular in laboratory studies for the ability to regenerate lost parts
planaria,free-swimming mostly freshwater flatworms; popular in laboratory studies for the ability to regenerate lost parts
trematode,parasitic flatworms having external suckers for attaching to a host
cercaria,tadpole-shaped parasitic larva of a trematode worm; tail disappears in adult stage
tapeworm,ribbonlike flatworms that are parasitic in the intestines of humans and other vertebrates
cestode,ribbonlike flatworms that are parasitic in the intestines of humans and other vertebrates
taenia,tapeworms parasitic in humans which uses the pig as its intermediate host
nemertean,soft unsegmented marine worms that have a threadlike proboscis and the ability to stretch and contract
nemertine,soft unsegmented marine worms that have a threadlike proboscis and the ability to stretch and contract
beard worm,slender animal with tentacles and a tubelike outer covering; lives on the deep ocean bottom
rotifer,minute aquatic multicellular organisms having a ciliated wheel-like organ for feeding and locomotion; constituents of freshwater plankton
nematode,unsegmented worms with elongated rounded body pointed at both ends; mostly free-living but some are parasitic
roundworm,unsegmented worms with elongated rounded body pointed at both ends; mostly free-living but some are parasitic
pinworm,small threadlike worm infesting human intestines and rectum especially in children
threadworm,small threadlike worm infesting human intestines and rectum especially in children
eelworm,any of various small free-living plant-parasitic roundworms
wheatworm,small roundworm parasitic on wheat
wheat eel,small roundworm parasitic on wheat
trichina,parasitic nematode occurring in the intestines of pigs and rats and human beings and producing larvae that form cysts in skeletal muscles
hookworm,parasitic bloodsucking roundworms having hooked mouth parts to fasten to the intestinal wall of human and other hosts
filaria,slender threadlike roundworms living in the blood and tissues of vertebrates; transmitted as larvae by biting insects
annelid,worms with cylindrical bodies segmented both internally and externally
earthworm,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers
angleworm,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers
fishworm,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers
wiggler,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers
crawler,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers
dew worm,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers
red worm,terrestrial worm that burrows into and helps aerate soil; often surfaces when the ground is cool or wet; used as bait by anglers
polychaete,chiefly marine annelids possessing both sexes and having paired appendages (parapodia) bearing bristles
polychete,chiefly marine annelids possessing both sexes and having paired appendages (parapodia) bearing bristles
lugworm,marine worms having a row of tufted gills along each side of the back; often used for fishing bait
lobworm,marine worms having a row of tufted gills along each side of the back; often used for fishing bait
sea mouse,any of several large worms having a broad flattened body with a mat of coarse hairs covering the back
bloodworm,a segmented marine worm with bright red body; often used for bait
hirudinean,carnivorous or bloodsucking aquatic or terrestrial worms typically having a sucker at each end
horseleech,any of several large freshwater leeches
mollusk,invertebrate having a soft unsegmented body usually enclosed in a shell
mollusc,invertebrate having a soft unsegmented body usually enclosed in a shell
shellfish,invertebrate having a soft unsegmented body usually enclosed in a shell
scaphopod,burrowing marine mollusk
tusk shell,any of various seashore mollusks having a tapering tubular shell open at each end and a foot pointed like a spade for burrowing
gastropod,a class of mollusks typically having a one-piece coiled shell and flattened muscular foot with a head bearing stalked eyes
univalve,a class of mollusks typically having a one-piece coiled shell and flattened muscular foot with a head bearing stalked eyes
abalone,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
ear-shell,any of various large edible marine gastropods of the genus Haliotis having an ear-shaped shell with pearly interior
sea-ear,an abalone found near the Channel Islands
seasnail,"any of several creeping marine gastropods with a spirally coiled shell: whelks, tritons, moon shells, neritids"
neritid,operculate seasnail of coastal waters with a short spiral shell
nerita,a neritid gastropod having a short smooth or spirally ridged shell with thick usually toothed outer lip and toothed operculum
neritina,ornately marked and brightly colored snails of brackish waters
triton,tropical marine gastropods having beautifully colored spiral shells
moon shell,marine gastropods having smooth rounded shells that form short spires
moonshell,marine gastropods having smooth rounded shells that form short spires
periwinkle,edible marine gastropod
