word,definition
scale,a measuring instrument for weighing; shows amount of mass
scan,an image produced by scanning
stud,an upright in house framing
scarf,a garment worn around the head or neck or shoulders for warmth or decoration
scarf,a joint made by notching the ends of two pieces of timber or metal so that they will lock together end-to-end
scene,graphic art consisting of the graphic or photographic representation of a visual percept
view,graphic art consisting of the graphic or photographic representation of a visual percept
scene,the painted structures of a stage set that are intended to suggest a particular locale
dreck,merchandise that is shoddy or inferior
scoop,a large ladle
scoop,the shovel or bucket of a dredge or backhoe
scow,a barge carrying bulk materials in an open hold
scow,any of various flat-bottomed boats with sloping ends
scrap,a small piece of something that is left over after the rest has been used
cover,a covering that serves to conceal or shelter something
screw,a fastener with a tapered threaded shank and a slotted head
screw,a propeller with several angled blades that rotates to push against water or air
screw,a simple machine of the inclined-plane type consisting of a spirally threaded cylindrical rod that engages with a similarly threaded hole
scrim,a firm open-weave fabric used for a curtain in the theater
scull,a racing shell that is propelled by sculls
scull,each of a pair of short oars that are used by a single oarsman
scull,a long oar that is mounted at the stern of a boat and moved left and right to propel the boat forward
scum,a film of impurities or vegetation that can form on the surface of a liquid
seal,a device incised to make an impression; used to secure a closing or to authenticate documents
stamp,a device incised to make an impression; used to secure a closing or to authenticate documents
seal,fastener that provides a tight and perfect closure
seal,a finishing coat applied to exclude moisture
seal,fastener consisting of a resinous composition that is plastic when warm; used for sealing documents and parcels and letters
seam,joint consisting of a line formed by joining two pieces
seat,any support where you can sit (especially the part of a chair or bench etc. on which you sit)
seat,furniture that is designed for sitting on
seat,the cloth covering for the buttocks
seat,a part of a machine that supports or guides another part
seats,an area that includes places where several people can sit
sedan,a car that is closed and that has front and rear seats and two or four doors
sedan,a closed litter for one passenger
seine,"a large fishnet that hangs vertically, with floats at the top and weights at the bottom"
SSRI,an antidepressant drug that acts by blocking the reuptake of serotonin so that more serotonin is available to act on receptors in the brain
semi,a trailer having wheels only in the rear; the front is supported by the towing vehicle
serge,a twilled woolen fabric
host,(computer science) a computer that provides client stations with access to files and printers as shared resources to a computer network
servo,control system that converts a small mechanical motion into one requiring much greater power; may include a negative feedback system
set,any electronic equipment that receives or transmits radio or tv signals
seven,one of four playing cards in a deck with seven pips on the face
78,a shellac based phonograph record that played at 78 revolutions per minute
sewer,a waste pipe that carries away sewage or surface water
bond,a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)
shade,protective covering that protects something from direct sunlight
shade,a representation of the effect of shadows in a picture or drawing (as by shading or darker pigment)
shaft,a long rod or pole (especially the handle of an implement or the body of a weapon like a spear or arrow)
shaft,"a long vertical passage sunk into the earth, as for a mine or tunnel"
shaft,(architecture) upright consisting of the vertical part of a column
scape,(architecture) upright consisting of the vertical part of a column
shaft,a vertical passageway through a building (as for an elevator)
shag,a fabric with long coarse nap
shank,the narrow part of the shoe connecting the heel and the wide part of the sole
waist,the narrow part of the shoe connecting the heel and the wide part of the sole
shank,cylinder forming the part of a bit by which it is held in the drill
shank,cylinder forming the part of a bolt between the thread and the head
shank,cylinder forming a long narrow part of something
stem,cylinder forming a long narrow part of something
shard,a broken piece of a brittle artifact
sherd,a broken piece of a brittle artifact
sharp,a long thin sewing needle with a sharp point
shawl,cloak consisting of an oblong piece of cloth used to cover the head and shoulders
shawm,a medieval oboe
shear,a large edge tool that cuts sheet metal by passing a blade through it
shed,an outbuilding with a single story; used for shelter or storage
sheet,bed linen consisting of a large rectangular piece of cotton or linen cloth; used in pairs
sheet,(nautical) a line (rope or chain) that regulates the angle at which a sail is set in relation to the wind
tack,(nautical) a line (rope or chain) that regulates the angle at which a sail is set in relation to the wind
sheet,a flat artifact that is thin relative to its length and width
shelf,a support that consists of a horizontal surface for holding objects
shell,ammunition consisting of a cylindrical metal casing containing an explosive charge and a projectile; fired from a large gun
shell,the housing or outer covering of something
case,the housing or outer covering of something
shell,a very light narrow racing boat
shift,the key on the typewriter keyboard that shifts from lower-case letters to upper-case letters
shim,a thin wedge of material (wood or metal or stone) for driving into crevices
ship,a vessel that carries passengers or freight
shirt,a garment worn on the upper half of the body
shiv,a knife used as a weapon
shock,a mechanical damper; absorbs energy of sudden impulses
shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
shoe,(card games) a case from which playing cards are dealt one at a time
shook,a disassembled barrel; the parts packed for storage or shipment
shop,a mercantile establishment for the retail sale of goods or services
store,a mercantile establishment for the retail sale of goods or services
shore,a beam or timber that is propped against a structure to provide support
short,the location on a baseball field where the shortstop is stationed
short,accidental contact between two points in an electric circuit that have a potential difference
shot,a solid missile discharged from a firearm
shot,an explosive charge used in blasting
shot,sports equipment consisting of a heavy metal ball used in the shot put
pony,a small glass adequate to hold a single swallow of whiskey
berm,a narrow edge of land (usually unpaved) along the side of a road
shunt,implant consisting of a tube made of plastic or rubber; for draining fluids within the body
shunt,a conductor having low resistance in parallel with another device to divert a fraction of the current
bird,badminton equipment consisting of a ball of cork or rubber with a crown of feathers
side,an extended outer surface of an object
sieve,a strainer for separating lumps from powdered material or grading particles
sign,structure displaying a board on which advertisements can be posted
silk,a fabric made from the fine threads produced by certain insect larvae
silks,the brightly colored garments of a jockey; emblematic of the stable
sill,structural member consisting of a continuous horizontal timber forming the lowest member of a framework or supporting structure
silo,a cylindrical tower used for storing silage
silo,military installation consisting of an underground structure where ballistic missiles can be stored and fired
vest,a collarless men's undergarment for the upper part of the body
sink,plumbing fixture consisting of a water basin fixed to a wall or floor and having a drainpipe
siren,an acoustic device producing a loud often wailing sound as a signal or warning
sitar,a stringed instrument of India; has a long neck and movable frets; has 6 or 7 metal strings for playing and usually 13 resonating strings
skate,sports equipment that is worn on the feet to enable the wearer to glide along and to be propelled by the alternate actions of the legs
skeg,a brace that extends from the rear of the keel to support the rudderpost
skein,coils of worsted yarn
frame,the internal supporting structure that gives an artifact its shape
skep,a domed beehive made of twisted straw
skep,a large round wicker basket (used on farms)
study,preliminary drawing for later elaboration
ski,narrow wood or metal or plastic runners used in pairs for gliding over snow
skid,one of a pair of planks used to make a track for rolling or sliding objects
skiff,any of various small boats propelled by oars or by sails or by a motor
skin,an outer surface (usually thin)
skin,a bag serving as a container for liquids; it is made from the hide of an animal
skirt,a garment hanging from the waist; worn mainly by girls and women
skirt,cloth covering that forms the part of a garment below the waist
lift,a powered conveyance that carries skiers up a hill
slab,block consisting of a thick piece of something
slack,a cord or rope or cable that is hanging loosely
slat,a thin strip (wood or metal)
slate,(formerly) a writing tablet made of slate
sled,a vehicle mounted on runners and pulled by horses or dogs; for transportation over snow
arm,the part of a garment that is attached at the armhole and that provides a cloth covering for the arm
slice,a spatula for spreading paint or ink
slick,a trowel used to make a surface slick
slick,a film of oil or garbage floating on top of water
slide,a transparency mounted in a frame; viewed with a slide projector
slide,a small flat rectangular piece of glass on which specimens can be mounted for microscopic study
slide,plaything consisting of a sloping chute down which children can slide
sling,bandage to support an injured forearm; consisting of a wide triangular piece of cloth hanging from around the neck
sling,a simple weapon consisting of a looped strap in which a projectile is whirled and then released
sling,a shoe that has a strap that wraps around the heel
sling,a plaything consisting of a Y-shaped stick with elastic between the arms; used to propel small stones
slip,a small sheet of paper
slit,a long narrow opening
sloop,a sailing vessel with a single mast set about one third of the boat's length aft of the bow
slops,cheap clothing (as formerly issued to sailors in Britain)
slot,a small slit (as for inserting a coin or depositing mail)
slot,a slot machine that is used for gambling
slot,(computer) a socket in a microcomputer that will accept a plug-in circuit board
smack,a sailing ship (usually rigged like a sloop or cutter) used in fishing and sailing along the coast
SCSI,interface consisting of a standard port between a computer and its peripherals that is used in some computers
stack,a large tall chimney through which combustion gases and smoke can be evacuated
snake,"something long, thin, and flexible that resembles a snake"
snap,a fastener used on clothing; fastens with a snapping sound
snap,an informal photograph; usually made with a small hand-held camera
shot,an informal photograph; usually made with a small hand-held camera
snare,a trap for birds or small mammals; often has a slip noose
gin,a trap for birds or small mammals; often has a slip noose
noose,a trap for birds or small mammals; often has a slip noose
snare,strings stretched across the lower head of a snare drum; they make a rattling sound when the drum is hit
snare,a surgical instrument consisting of wire hoop that can be drawn tight around the base of polyps or small tumors to sever them; used especially in body cavities
snare,a small drum with two heads and a snare stretched across the lower head
snip,a small piece of anything (especially a piece that has been snipped off)
snips,(plural) hand shears for cutting sheet metal
snood,an ornamental net in the shape of a bag that confines a woman's hair; pins or ties at the back of the head
snuff,finely powdered tobacco for sniffing up the nose
soap,a cleansing agent made from the salts of vegetable or animal fats
soap,street names for gamma hydroxybutyrate
scoop,street names for gamma hydroxybutyrate
goop,street names for gamma hydroxybutyrate
sock,hosiery consisting of a cloth covering for the foot; worn inside the shoe; reaches to between the ankle and the knee
socle,a plain plinth that supports a wall
soddy,a house built of sod or adobe laid in horizontal courses
sofa,an upholstered seat for more than one person
couch,an upholstered seat for more than one person
sole,the underside of footwear or a golf club
sonar,a measuring instrument that sends out an acoustic pulse in water and measures distances in terms of the time for the echo of the pulse to return
asdic,a measuring instrument that sends out an acoustic pulse in water and measures distances in terms of the time for the echo of the pulse to return
souk,an open-air market in an Arabian city
body,a resonating chamber in a musical instrument (as the body of a violin)
audio,a recording of acoustic signals
spade,a sturdy hand shovel that can be pushed into the earth with the foot
spade,a playing card in the major suit that has one or more black figures on it
spar,a stout rounded pole of wood or metal used to support rigging
spare,an extra component of a machine or other apparatus
plug,electrical device that fits into the cylinder head of an internal-combustion engine and ignites the gas by means of an electric spark
spat,a cloth covering (a legging) that covers the instep and ankles
spear,a long pointed rod used as a tool or weapon
lance,a long pointed rod used as a tool or weapon
shaft,a long pointed rod used as a tool or weapon
spear,an implement with a shaft and barbed point used for catching fish
gig,an implement with a shaft and barbed point used for catching fish
lance,an implement with a shaft and barbed point used for catching fish
specs,(plural) optical instrument consisting of a frame that holds a pair of lenses for correcting defective vision
spike,sports equipment consisting of a sharp point on the sole of a shoe worn by athletes
spike,a large stout nail
spike,"any holding device consisting of a rigid, sharp-pointed object"
spike,"a long, thin sharp-pointed implement (wood or metal)"
spike,a sharp-pointed projection along the top of a fence or wall (or a dinosaur)
spike,each of the sharp points on the soles of athletic shoes to prevent slipping (or the shoes themselves)
spike,a very high narrow heel on women's shoes
spill,a channel that carries excess water over or around a dam or other obstruction
arbor,any of various rotating shafts that serve as axes for larger rotating parts
spine,the part of a book's cover that encloses the inner side of the book's pages and that faces outward when the book is shelved
spit,a skewer for holding meat over a fire
splat,a slat of wood in the middle of the back of a straight chair
splay,an outward bevel around a door or window that makes it seem larger
split,(tenpin bowling) a divided formation of pins left standing after the first bowl
Spode,a brand of fine English porcelain
spoke,support consisting of a radial member of a wheel joining the hub to the rim
spoon,a piece of cutlery with a shallow bowl-shaped container and a handle; used to stir or serve or take up food
spoon,formerly a golfing wood with an elevated face
Spork,trademark for a plastic eating utensil that has both tines and a bowl like a spoon
SUV,a high-performance four-wheel drive car built on a truck chassis
spot,a business establishment for entertainment
spot,a playing card with a specified number of pips on it to indicate its value
spot,a lamp that produces a strong beam of light to illuminate a restricted area; used to focus attention of a stage performer
spout,an opening that allows the passage of liquids or grain
sprag,a chock or bar wedged under a wheel or between the spokes to prevent a vehicle from rolling down an incline
spray,flower arrangement consisting of a single branch or shoot bearing flowers and foliage
sprig,an ornament that resembles a spray of leaves or flowers
sprit,a light spar that crosses a fore-and-aft sail diagonally
spud,a sharp hand shovel for digging out roots and weeds
spur,a sharp prod fixed to a rider's heel and used to urge a horse onward
gad,a sharp prod fixed to a rider's heel and used to urge a horse onward
bat,a small racket with a long handle used for playing squash
tack,gear for a horse
bowl,a large structure for open-air sports or entertainments
arena,a large structure for open-air sports or entertainments
staff,a strong rod or stick with a specialized utilitarian purpose
stage,a large platform on which people can stand and can be seen by an audience
stage,a small platform on a microscope where the specimen is mounted for examination
stage,a large coach-and-four formerly used to carry passengers and mail on regular routes between towns
set,representation consisting of the scenery and other properties used to identify the location of a dramatic production
steps,a flight of stairs or a flight of steps
stake,a strong wooden or metal post with a point at one end so it can be driven into the ground
stake,instrument of execution consisting of a vertical post that a victim is tied to for burning
stall,a booth where articles are displayed for sale
stand,a booth where articles are displayed for sale
stall,a compartment in a stable where a single animal is confined and fed
stall,seating in the forward part of the main level of a theater
stamp,a block or die used to imprint a mark or design
stamp,machine consisting of a heavy bar that moves vertically for pounding or crushing ores
stand,tiered seats consisting of a structure (often made of wood) where people can sit to watch an event (game or parade)
stand,a small table for holding articles of various kinds
stave,one of several thin slats of wood forming the sides of a barrel or bucket
lag,one of several thin slats of wood forming the sides of a barrel or bucket
stay,(nautical) brace consisting of a heavy rope or wire cable used as a support for a mast or spar
stay,a thin strip of metal or bone that is used to stiffen a garment (e.g. a corset)
steel,knife sharpener consisting of a ridged steel rod
spire,a tall tower that forms the superstructure of a building (usually a church or temple) and that tapers to a point at the top
wheel,a handwheel that is used for steering
stele,an ancient upright stone slab bearing markings
stela,an ancient upright stone slab bearing markings
stem,the tube of a tobacco pipe
stent,a slender tube inserted inside a tubular body part (as a blood vessel) to provide support during and after surgical anastomosis
step,support consisting of a place to rest the foot while ascending or descending a stairway
stair,support consisting of a place to rest the foot while ascending or descending a stairway
step,a solid block joined to the beams in which the heel of a ship's mast or capstan is fixed
stern,the rear part of a ship
poop,the rear part of a ship
tail,the rear part of a ship
stick,an implement consisting of a length of wood
stick,a long thin implement resembling a length of wood
stick,a lever used by a pilot to control the ailerons and elevators of an airplane
stick,a long implement (usually made of wood) that is shaped so that hockey or polo players can hit a puck or ball
stile,an upright that is a member in a door or window frame
still,an apparatus used for the distillation of liquids; consists of a vessel in which a substance is vaporized by heat and a condenser where the vapor is condensed
still,a static photograph (especially one taken from a movie and used for advertising purposes)
stilt,one of two stout poles with foot rests in the middle; used for walking high above the ground
stob,a short straight stick of wood
stock,the merchandise that a shop has on hand
stock,the handle end of some implements or tools
stock,the handle of a handgun or the butt end of a rifle or shotgun or part of the support of a machine gun or artillery gun
stock,lumber used in the construction of something
stogy,a cheap cigar
stole,a wide scarf worn about their shoulders by women
stone,building material consisting of a piece of rock hewn in a definite shape for a special purpose
stool,a simple seat without a back or arms
stoop,small porch or set of steps at the front entrance of a house
stoep,small porch or set of steps at the front entrance of a house
stop,(music) a knob on an organ that is pulled to change the sound quality from the organ pipes
cock,faucet consisting of a rotating device for regulating flow of a liquid
depot,a depository for goods
store,a depository for goods
stoup,basin for holy water
stoop,basin for holy water
stoup,an archaic drinking vessel
stove,any heating apparatus
stove,a kitchen appliance used for cooking food
range,a kitchen appliance used for cooking food
Strad,a violin made by Antonio Stradivari or a member of his family
strap,whip consisting of a strip of leather used in flogging
strap,an elongated leather strip (or a strip of similar material) for binding things together or holding something in position
strap,a band that goes over the shoulder and supports a garment or bag
strap,hanger consisting of a loop of leather suspended from the ceiling of a bus or train; passengers hold onto it
straw,a thin paper or plastic tube used to suck liquids into the mouth
tram,a wheeled vehicle that runs on rails and is propelled by electricity
twine,a lightweight cord
strip,artifact consisting of a narrow flat piece of material
slip,artifact consisting of a narrow flat piece of material
strip,thin piece of wood or metal
strop,a leather strap used to sharpen razors
strut,brace consisting of a bar or rod used to resist longitudinal compression
stud,ornament consisting of a circular rounded protuberance (as on a vault or shield or belt)
rivet,ornament consisting of a circular rounded protuberance (as on a vault or shield or belt)
study,a room used for reading and writing and studying
stuff,miscellaneous unspecified objects
stump,(cricket) any of three upright wooden posts that form the wicket
stupa,a dome-shaped shrine erected by Buddhists
tope,a dome-shaped shrine erected by Buddhists
sty,a pen for swine
style,a pointed tool for writing or drawing or engraving
sub,a submersible warship usually armed with torpedoes
suede,a fabric made to resemble suede leather
suit,a set of garments (usually including a jacket and trousers or skirt) for outerwear all of the same fabric and color
suit,playing card in any of four sets of 13 cards in a pack; each set has its own symbol and color
suite,apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
rooms,apartment consisting of a series of connected rooms used as a living unit (as in a hotel)
sulfa,antibacterial consisting of any of several synthetic organic compounds capable of inhibiting the growth of bacteria that require PABA
sulky,a light two-wheeled vehicle for one person; drawn by one horse
sum,the whole amount
total,the whole amount
sump,a well or other hole in which water has collected
sump,an oil reservoir in an internal combustion engine
ha-ha,a ditch with one side being a retaining wall; used to divide lands without defacing the landscape
SAM,a guided missile fired from land or shipboard against an airborne target
swab,cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
swob,cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
mop,cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors
swab,implement consisting of a small piece of cotton that is used to apply medication or cleanse a wound or obtain a specimen of a secretion
swag,a bundle containing the personal belongings of a swagman
sweep,a long oar used in an open boat
swing,mechanical device used as a plaything to support someone swinging back and forth
sword,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
blade,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
brand,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
steel,a cutting or thrusting weapon that has a long metal blade and a hilt with a hand guard
tab,a short strip of material attached to or projecting from something in order to facilitate opening or identifying or handling it
tabi,a sock with a separation for the big toe; worn with thong sandals by the Japanese
tabis,a sock with a separation for the big toe; worn with thong sandals by the Japanese
tab,the key on a typewriter or a word processor that causes a tabulation
table,a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs
table,a piece of furniture with tableware for a meal laid out on it
tabor,a small drum with one head of soft calfskin
tach,measuring instrument for indicating speed of rotation
tack,a short nail with a sharp point and a large head
tenia,a narrow headband or strip of ribbon worn as a headband
tail,the rear part of an aircraft
tail,(usually plural) the reverse side of a coin that does not bear the representation of a person's head
fin,one of a pair of decorations projecting above the rear fenders of an automobile
tam,a woolen cap of Scottish origin
tammy,a woolen cap of Scottish origin
tammy,plain-woven (often glazed) fabric of wool or wool and cotton used especially formerly for linings and garments and curtains
tamp,"a tool for tamping (e.g., for tamping tobacco into a pipe bowl or a charge into a drill hole etc.)"
tank,a large (usually metallic) vessel for holding gases or liquids
tank,an enclosed armored military vehicle; has a cannon and moves on caterpillar treads
tanka,a Tibetan religious painting on fabric
tank,a freight car that transports liquids or gases in bulk
tap,a plug for a bunghole in a cask
tap,a tool for cutting female (internal) screw threads
tap,a small metal plate that attaches to the toe or heel of a shoe (as in tap dancing)
tapa,a paperlike cloth made in the South Pacific by pounding tapa bark
tappa,a paperlike cloth made in the South Pacific by pounding tapa bark
tape,a long thin piece of cloth or paper as used for binding or fastening
tape,a recording made on magnetic tape
tape,measuring instrument consisting of a narrow strip (cloth or metal) marked in inches or centimeters and used for measuring lengths
arras,a wall hanging of heavy handwoven fabric often with pictorial designs
tapis,a heavy textile with a woven design; used for curtains and upholstery
tare,(chemical analysis) a counterweight used in chemical analysis; consists of an empty container that counterbalances the weight of the container holding chemicals
butt,sports equipment consisting of an object set up for a marksman or archer to aim at
tarot,any of a set of (usually 78) cards that include 22 cards representing virtues and vices and death and fortune etc.; used for playing card games and for divination by fortunetellers
tarp,waterproofed canvas
plaid,a cloth having a crisscross design
tasse,one of two pieces of armor plate hanging from the fauld to protect the upper thighs
taw,a large marble used for shooting in the game of marbles
tawse,a leather strap for punishing children
T-bar,a surface lift where riders hold a bar and are pulled up the hill on their skis
teddy,plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)
tee,a short peg put into the ground to hold a golf ball off the ground
tee,support holding a football on end and above the ground preparatory to the kickoff
phone,electronic equipment that converts sound into electrical signals that can be transmitted over distances and then converts received signals back into sounds
line,a telephone connection
scope,a magnifier of images of distant objects
tv,an electronic device that receives television signals and displays them on a screen
telly,an electronic device that receives television signals and displays them on a screen
patch,a connection intended to be used for a limited time
tenon,a projection at the end of a piece of wood that is shaped to fit into a mortise and form a mortise joint
ten,one of four playing cards in a deck with ten pips on the face
tent,a portable shelter (usually of canvas stretched over supporting poles and fastened to the ground with ropes and pegs)
fly,flap consisting of a piece of canvas that can be drawn back to provide entrance to a tent
tepee,a Native American tent; usually of conical shape
tipi,a Native American tent; usually of conical shape
depot,station where transport vehicles load or unload passengers or goods
pole,a contact on an electrical device (such as a battery) at which electric current enters or leaves
term,(architecture) a statue or a human bust or an animal carved out of the top of a square pillar; originally used as a boundary marker in ancient Rome
terry,a pile fabric (usually cotton) with uncut loops on both sides; used to make bath towels and bath robes
THC,psychoactive substance present in marijuana
house,a building where theatrical performances or motion-picture shows can be presented
thill,one of two shafts extending from the body of a cart or carriage on either side of the animal that pulls it
thing,an artifact
thing,an entity that is not named specifically
third,the base that must be touched third by a base runner in baseball
third,the third from the lowest forward ratio gear in the gear box of a motor vehicle
thong,a thin strip of leather; often used to lash things together
thong,underpants resembling a G-string; worn by women especially under very tight pants
yarn,a fine cord of twisted fibers (of cotton or silk or wool or nylon etc.) used in sewing and weaving
throw,bedclothes consisting of a lightweight cloth covering (an afghan or bedspread) that is casually thrown over something
thumb,the part of a glove that provides a covering for the thumb
tiara,a jeweled headdress worn by women on formal occasions
tick,a light mattress
tidy,receptacle that holds odds and ends (as sewing materials)
tie,a cord (or string or ribbon or wire etc.) with which something is tied
tie,a horizontal beam used to prevent two other structural members from spreading apart or separating
tie,one of the cross braces that support the rails on a railway track
tier,one of two or more layers one atop another
tier,something that is used for tying
tile,a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
tile,"game equipment consisting of a flat thin piece marked with characters and used in board games like Mah-Jong, Scrabble, etc."
timer,a timepiece that measures a time interval and signals its end
timer,a regulator that activates or deactivates a mechanism at set times
tin,"a vessel (box, can, pan, etc.) made of tinplate and used mainly in baking"
tine,prong on a fork or pitchfork or antler
tire,hoop that covers a wheel
tyre,hoop that covers a wheel
TNT,explosive consisting of a yellow crystalline compound that is a flammable toxic derivative of toluene
baccy,leaves of the tobacco plant dried and prepared for smoking or ingestion
toby,a drinking mug in the shape of a stout man wearing a three-cornered hat
toe,the part of footwear that provides a covering for the toes
toe,(golf) the part of a clubhead farthest from the shaft
toga,a one-piece cloak worn by men in ancient Rome
togs,informal terms for clothing
duds,informal terms for clothing
lav,a room or building equipped with one or more toilets
can,a room or building equipped with one or more toilets
privy,a room or building equipped with one or more toilets
can,a plumbing fixture for defecation and urination
pot,a plumbing fixture for defecation and urination
potty,a plumbing fixture for defecation and urination
stool,a plumbing fixture for defecation and urination
gel,jellylike substance used in hair styling
token,a metal or plastic disk that can be redeemed or used in designated slot machines
tole,enameled or lacquered metalware (usually gilded and elaborately painted); popular in the 18th century
toner,a lotion for cleansing the skin and contracting the pores
tongs,any of various devices for taking hold of objects; usually have two hinged legs with handles above and pointed hooks below
tonic,a medicine that strengthens and invigorates
tool,an implement used in the practice of a vocation
tooth,something resembling the tooth of an animal
tooth,one of a number of uniform projections on a gear
top,a garment (especially for women) that extends from the shoulders to the waist or hips
top,covering for a hole (especially a hole in the top of a container)
cover,covering for a hole (especially a hole in the top of a container)
top,a conical child's plaything tapering to a steel point on which it can be made to spin
top,platform surrounding the head of a lower mast
torch,a light usually carried in the hand; consists of some flammable substance
torus,commonly the lowest molding at the base of a column
tore,commonly the lowest molding at the base of a column
totem,emblem consisting of an object such as an animal or plant; serves as the symbol of a family or clan (especially among American Indians)
toupe,a small hairpiece to cover partial baldness
towel,a rectangular piece of absorbent cloth (or paper) for drying or wiping
tower,a structure taller than its diameter; can stand alone or be attached to a larger building
toy,a device regarded as providing amusement
toy,a nonfunctional replica of something else (frequently used as a modifier)
trace,either of two lines that connect a horse's harness to a wagon or other vehicle or to a whiffletree
trace,a drawing created by superimposing a semitransparent sheet of paper on the original image and copying on it the lines of the original image
track,any road or path affording passage especially a rough one
track,a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll
rail,a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll
rails,a bar or pair of parallel bars of rolled steel making the railway along which railroad cars or other vehicles can roll
track,a pair of parallel rails providing a runway for wheels
track,a groove on a phonograph recording
track,(computer science) one of the circular magnetic paths on a magnetic disk that serve as a guide for writing and reading data
track,an endless metal belt on which tracked vehicles move over the ground
trail,a path or track roughly blazed through wild or hilly country
rig,a truck consisting of a tractor and trailer together
semi,a truck consisting of a tractor and trailer together
train,public transport provided by a line of railway cars coupled together and drawn by a locomotive
train,piece of cloth forming the long back section of a gown that is drawn along the floor
tram,a four-wheeled wagon that runs on tracks in a mine
tramp,a commercial steamer for hire; one having no regular schedule
tram,a conveyance that transports passengers or freight in carriers suspended from cables and supported by a series of towers
Mavik,an ACE inhibiting drug (trade name Mavik) used in some patients after a heart attack or to treat hypertension
trap,a device in which something (usually an animal) can be caught and penned
trap,a light two-wheeled carriage
trap,a device to hurl clay pigeons into the air for trapshooters
trap,drain consisting of a U-shaped section of drainpipe that holds liquid and so prevents a return flow of sewer gas
trave,a horizontal beam that extends across something
trawl,a conical fishnet dragged through the water at great depths
trawl,a long fishing line with many shorter lines and hooks attached to it (usually suspended between buoys)
tray,an open receptacle for holding or displaying or serving articles or food
tread,structural member consisting of the horizontal part of a stair or step
tread,the part (as of a wheel or shoe) that makes contact with the ground
tread,the grooved surface of a pneumatic tire
trews,(used in the plural) tight-fitting trousers; usually of tartan
trey,one of four playing cards in a deck having three pips
three,one of four playing cards in a deck having three pips
trike,a vehicle with three wheels that is moved by foot pedals
trim,a decoration or adornment typically on the edge of a garment
trip,a catch mechanism that acts as a switch
troll,a fisherman's lure that is used in trolling
pant,"(usually in the plural) a garment extending from the waist to the knee or ankle, covering each leg separately"
truck,an automotive vehicle suitable for hauling
trump,(card games) the suit that has been declared to rank above all other suits for the duration of the hand
trump,a playing card in the suit that has been declared trumps
baton,a short stout club used primarily by policemen
billy,a short stout club used primarily by policemen
trunk,luggage consisting of a large strong case used when traveling or for storage
truss,"a framework of beams (rafters, posts, struts) forming a rigid structure that supports a roof or bridge or other structure"
truss,(medicine) a bandage consisting of a pad and belt; worn to hold a hernia in place by pressure
tub,a large open vessel for holding or storing liquids
vat,a large open vessel for holding or storing liquids
tube,conduit consisting of a long hollow object (usually cylindrical) used to hold and conduct objects or liquids or gases
tube,electronic device consisting of a system of electrodes arranged in an evacuated glass or metal envelope
tuck,a narrow flattened pleat or fold that is stitched in place
tug,a powerful small boat designed to pull or push larger ships
tower,a powerful small boat designed to pull or push larger ships
tulle,a fine (often starched) net used for veils or tutus or gowns
tun,a large cask especially one holding a volume equivalent to 2 butts or 252 gals
tunic,any of a variety of loose fitting cloaks extending to the hips or knees
tupik,tent that is an Eskimo summer dwelling
tupek,tent that is an Eskimo summer dwelling
tweed,thick woolen fabric used for clothing; originated in Scotland
.22,a .22 caliber firearm (pistol or rifle)
twill,a cloth with parallel diagonal lines or ribs
twill,a weave used to produce the effect of parallel diagonal ribs
type,a small metal block bearing a raised character on one end; produces a printed character when inked and pressed on paper
slug,a strip of type metal used for spacing
uke,a small guitar having four strings
union,a device on a national flag emblematic of the union of two or more sovereignties (typically in the upper inner corner)
upper,piece of leather or synthetic material that forms the part of a shoe or boot above the sole that encases the foot
upper,the higher of two berths
upset,a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
swage,a tool used to thicken or spread metal (the end of a bar or a rivet etc.) by forging or hammering or swaging
urn,a large vase that usually has a pedestal or feet
urn,a large pot for making coffee or tea
valve,control consisting of a mechanical device for controlling the flow of a fluid
valve,device in a brass wind instrument for varying the length of the air column to alter the pitch of a tone
vamp,piece of leather forming the front part of the upper of a shoe
van,a truck with an enclosed cargo space
van,a camper equipped with living quarters
van,(Great Britain) a closed railroad car that carries baggage or freight
vane,"a fin attached to the tail of an arrow, bomb or missile in order to stabilize or guide it"
vase,an open jar of glass or porcelain used as an ornament or to hold flowers
vault,an arched brick or stone ceiling or roof
vault,a burial chamber (usually underground)
vault,a strongroom or compartment (often made of steel) for safekeeping of valuables
buck,a gymnastic horse without pommels and with one end elongated; used lengthwise for vaulting
vent,a hole for the escape of gas or air
vent,a slit in a garment (as in the back seam of a jacket)
